Rk,Player,Tm,2014-15
1,Kobe Bryant,LAL,$23500000
2,Amar'e Stoudemire,NYK,$23410988
3,Joe Johnson,BRK,$23180790
4,Carmelo Anthony,NYK,$22458000
5,Dwight Howard,HOU,$21436271
6,Chris Bosh,MIA,$20644400
7,LeBron James,CLE,$20644400
8,Chris Paul,LAC,$20068563
9,Deron Williams,BRK,$19754465
10,Brandon Roy,POR,$19317326
11,Rudy Gay,SAC,$19317325
12,Kevin Durant,OKC,$18995624
13,Derrick Rose,CHI,$18862875
14,Blake Griffin,LAC,$17674612
15,Zach Randolph,MEM,$16500000
16,LaMarcus Aldridge,POR,$16006000
17,Paul George,IND,$15925680
18,Marc Gasol,MEM,$15829688
19,Brook Lopez,BRK,$15719063
20,Russell Westbrook,OKC,$15719062
21,Kevin Love,CLE,$15719062
22,David Lee,GSW,$15012000
23,Dwyane Wade,MIA,$15000000
24,Eric Gordon,NOP,$14898938
25,Roy Hibbert,IND,$14898938
26,John Wall,WAS,$14746000
27,Gordon Hayward,UTA,$14746000
28,James Harden,HOU,$14728844
29,Chandler Parsons,DAL,$14700000
30,Tyson Chandler,DAL,$14598888
31,Josh Smith,DET,$14000000
32,DeMarcus Cousins,SAC,$13701250
33,Al Jefferson,CHO,$13666667
34,Carlos Boozer,CHI,$13550000
35,Nene Hilario,WAS,$13000000
36,Andrew Bogut,GSW,$12972973
37,Rajon Rondo,BOS,$12909091
38,Derrick Favors,UTA,$12833333
39,Tony Parker,SAS,$12500000
40,Serge Ibaka,OKC,$12350000
41,Andre Iguodala,GSW,$12289544
42,Joakim Noah,CHI,$12200000
43,Eric Bledsoe,PHO,$12173913
44,Nikola Pekovic,MIN,$12100000
45,Kyle Lowry,TOR,$12000000
46,David West,IND,$12000000
47,Kevin Garnett,BRK,$12000000
48,Al Horford,ATL,$12000000
49,Nicolas Batum,POR,$11765500
50,Ty Lawson,DEN,$11595506
51,Andrea Bargnani,NYK,$11500000
52,DeAndre Jordan,LAC,$11440124
53,JaVale McGee,DEN,$11250000
54,Larry Sanders,MIL,$11000000
55,Danilo Gallinari,DEN,$10854850
