Rk,Player,Tm,2013-14
65,Anderson Varejao,CLE,$9036364
66,Andris Biedrins,UTA,$9000000
67,Kendrick Perkins,OKC,$8977437
68,Jeff Green,BOS,$8965000
69,Thaddeus Young,PHI,$8850000
70,Jameer Nelson,ORL,$8600000
71,Charlie Villanueva,DET,$8580000
72,Rodney Stuckey,DET,$8500000
73,Jeremy Lin,HOU,$8374646
74,Omer Asik,HOU,$8374646
75,Nenad Krstic,BOS,
76,Ryan Anderson,NOP,$8308500
77,Mike Conley,MEM,$8200001
78,Marcus Thornton,SAC,$8050000
79,Caron Butler,PHO,$8000000
80,O.J. Mayo,MIL,$8000000
81,George Hill,IND,$8000000
82,Monta Ellis,DAL,$8000000
83,Jeff Teague,ATL,$8000000
84,Ersan Ilyasova,MIL,$7900000
85,Arron Afflalo,ORL,$7750000
86,Trevor Ariza,WAS,$7727280
87,Marcin Gortat,WAS,$7727280
88,Brandon Jennings,DET,$7655503
89,John Salmons,TOR,$7583000
90,Taj Gibson,CHI,$7550000
91,Marvin Williams,UTA,$7500000
92,Manu Ginobili,SAS,$7500000
93,Goran Dragic,PHO,$7500000
94,John Wall,WAS,$7459925
95,Tayshaun Prince,MEM,$7235955
96,Steven Hunter,MEM,
97,Robert Horry,SAS,
98,Wesley Matthews,POR,$6875480
99,Jose Calderon,DAL,$6791570
100,Kyle Korver,ATL,$6760563
101,Evan Turner,PHI,$6679867
102,Amir Johnson,TOR,$6500000
103,Carl Landry,SAC,$6500000
104,Spencer Hawes,PHI,$6500000
105,Kevin Martin,MIN,$6500000
106,Brandon Bass,BOS,$6450000
107,Channing Frye,PHO,$6400000
108,Glen Davis,ORL,$6400000
109,Wilson Chandler,DEN,$6344164
110,J.J. Redick,LAC,$6300000
111,Jarrett Jack,CLE,$6300000
112,Landry Fields,TOR,$6250000
113,Kyle Lowry,TOR,$6210000
114,Jason Richardson,PHI,$6204250
115,Derrick Favors,UTA,$6008196
116,Hedo Turkoglu,ORL,$6000000
117,Andrew Bynum,CHI,$6000000
118,Gerald Henderson,CHA,$6000000
119,Robin Lopez,POR,$5904261
120,Chuck Hayes,TOR,$5722500
121,Jason Thompson,SAC,$5643750
122,Jason Terry,BRK,$5625313
123,Kyrie Irving,CLE,$5607240
124,J.R. Smith,NYK,$5565000
125,Rudy Fernandez,DEN,
126,Anthony Davis,NOP,$5375760
127,Anthony Bennett,CLE,$5324280
128,Courtney Lee,MEM,$5225000
129,Jamal Crawford,LAC,$5225000
130,Louis Williams,ATL,$5225000
131,Zaza Pachulia,MIL,$5200000
132,Martell Webster,WAS,$5150000
133,J.J. Hickson,DEN,$5150000
134,Keith Bogans,BOS,$5058198
135,Derrick Williams,SAC,$5016960
136,Chase Budinger,MIN,$5000000
137,Andre Miller,DEN,$5000000
138,Brandan Wright,DAL,$5000000
139,Ramon Sessions,CHA,$5000000
140,DeMarcus Cousins,SAC,$4916974
141,Michael Kidd-Gilchrist,CHA,$4809840
142,Victor Oladipo,ORL,$4763760
143,Boris Diaw,SAS,$4702500
144,Jose Barea,MIN,$4687000
145,Michael Beasley,PHO,$4666667
146,Luc Mbah a Moute,MIN,$4588384
147,Luis Scola,IND,$4508504
148,Enes Kanter,UTA,$4505280
149,Corey Brewer,MIN,$4500000
150,Jonas Jerebko,DET,$4500000
151,Tony Allen,MEM,$4494382
152,Ekpe Udoh,MIL,$4469548
153,Timofey Mozgov,DEN,$4400000
154,Udonis Haslem,MIA,$4340000
155,Luke Ridnour,MIL,$4320000
156,Bradley Beal,WAS,$4319280
157,Otto Porter,WAS,$4278000
158,Jared Dudley,LAC,$4250000
159,Earl Clark,CLE,$4250000
160,Greg Monroe,DET,$4086454
161,Tristan Thompson,CLE,$4062000
162,Kirk Hinrich,CHI,$4059000
163,Ricky Rubio,MIN,$4002120
164,Brandon Rush,UTA,$4000000
165,Mario Chalmers,MIA,$4000000
166,Steve Blake,LAL,$4000000
167,Ian Mahinmi,IND,$4000000
168,Elton Brand,ATL,$4000000
169,Matt Bonner,SAS,$3945000
170,Thabo Sefolosha,OKC,$3900000
171,Dion Waiters,CLE,$3894240
172,Cody Zeller,CHA,$3857040
173,Joel Anthony,MIA,$3800000
174,Roshown McLeod,BOS,
175,Danny Green,SAS,$3762500
176,Steve Novak,TOR,$3750000
177,Samuel Dalembert,DAL,$3700748
178,Al-Farouq Aminu,NOP,$3700000
179,Raymond Felton,NYK,$3637073
180,Al Harrington,ORL,$3574300
181,Jordan Hill,LAL,$3563600
182,Jonas Valanciunas,TOR,$3526440
183,Thomas Robinson,POR,$3526440
184,Shannon Brown,WAS,$3500000
185,Gerald Green,PHO,$3500000
186,Marreese Speights,GSW,$3500000
187,Alex Len,PHO,$3492720
188,Gordon Hayward,UTA,$3452183
189,Jan Vesely,WAS,$3340920
190,Paul George,IND,$3282003
191,Shane Battier,MIA,$3270000
192,Gary Neal,MIL,$3250000
193,Carlos Delfino,MIL,$3250000
194,Matt Barnes,LAC,$3250000
195,Alonzo Gee,CLE,$3250000
196,Darrell Arthur,DEN,$3231683
197,Ray Allen,MIA,$3229050
198,Mirza Teletovic,BRK,$3229050
199,Damian Lillard,POR,$3202920
200,Tyler Hansbrough,TOR,$3183000
201,Chris Kaman,LAL,$3183000
202,Mike Dunleavy,CHI,$3183000
203,Andrei Kirilenko,BRK,$3183000
204,Vince Carter,DAL,$3180000
205,Nerlens Noel,PHI,$3172320
206,Ed Davis,MEM,$3153860
207,Alexey Shved,MIN,$3150000
208,Jerryd Bayless,BOS,$3135000
209,Patrick Patterson,TOR,$3105302
210,Lavoy Allen,PHI,$3060000
211,Larry Sanders,MIL,$3053368
212,Bismack Biyombo,CHA,$3049920
213,Travis Outlaw,SAC,$3000000
214,Dorell Wright,POR,$3000000
215,Kosta Koufos,MEM,$3000000
216,Chris Copeland,IND,$3000000
217,Randy Foye,DEN,$3000000
218,Kwame Brown,PHI,$2945901
219,Harrison Barnes,GSW,$2923920
220,Joel Freeland,POR,$2897976
221,Ben McLemore,SAC,$2895960
222,Ron Harper,LAL,
223,Quentin Richardson,ORL,$2808600
224,Brandon Knight,MIL,$2793960
225,Will Bynum,DET,$2790343
226,Marcus Camby,TOR,$2763054
227,Kevin Seraphin,WAS,$2761114
228,Marco Belinelli,SAS,$2750000
229,Aaron Gray,SAC,$2690875
230,Terrence Ross,TOR,$2678640
231,Greg Stiemsma,NOP,$2676000
232,Kentavious Caldwell-Pope,DET,$2653080
233,Mo Williams,POR,$2652000
234,Wayne Ellington,DAL,$2652000
235,Josh McRoberts,CHA,$2652000
236,Eric Bledsoe,PHO,$2626473
237,Nick Collison,OKC,$2585668
238,Kemba Walker,CHA,$2568360
239,DeMarre Carroll,ATL,$2557545
240,Avery Bradley,BOS,$2511432
241,Jason Maxiell,ORL,$2500000
242,Jason Smith,NOP,$2500000
243,Chauncey Billups,DET,$2500000
244,Andre Drummond,DET,$2462400
245,Jimmer Fredette,SAC,$2439840
246,Trey Burke,UTA,$2438760
247,Trevor Booker,WAS,$2350820
248,Austin Rivers,NOP,$2339040
249,Klay Thompson,GSW,$2317920
250,C.J. McCollum,POR,$2316720
251,Quincy Pondexter,MEM,$2225479
252,C.J. Miles,CLE,$2225000
253,Meyers Leonard,POR,$2222160
254,Alec Burks,UTA,$2202000
255,Michael Carter-Williams,PHI,$2200920
256,Dante Cunningham,MIN,$2180000
257,Jordan Crawford,BOS,$2162419
258,Greivis Vasquez,TOR,$2150188
259,Jeremy Lamb,OKC,$2111160
260,Shammond Williams,LAL,
261,Markieff Morris,PHO,$2091840
262,Steven Adams,OKC,$2090880
263,Brendan Haywood,CHA,$2050000
264,Sebastian Telfair,TOR,
265,Eric Maynor,WAS,$2016000
266,C.J. Watson,IND,$2016000
267,Nate Robinson,DEN,$2016000
268,Kendall Marshall,WAS,$2005560
269,Jermaine O'Neal,GSW,$2000000
270,Vitor Faverani,BOS,$2000000
271,Marcus Morris,PHO,$1987320
272,Kelly Olynyk,BOS,$1986360
273,John Henson,MIL,$1905360
274,Darren Collison,LAC,$1900000
275,Kawhi Leonard,SAS,$1887840
276,Shabazz Muhammad,MIN,$1887120
277,[Fran Vasquez] [#11 in 2005],ORL,$1834100
278,Maurice Harkless,ORL,$1809840
279,Karl Malone,LAL,
280,Nikola Vucevic,ORL,$1793520
281,Giannis Antetokounmpo,MIL,$1792560
282,Jeff Ayres,SAS,$1750000
283,Luigi Datome,DET,$1750000
284,Anthony Randolph,DEN,$1750000
285,Royce White,PHI,$1719480
286,Iman Shumpert,NYK,$1703760
287,Reggie Evans,BRK,$1695635
288,Jeremy Evans,UTA,$1660257
289,Tyler Zeller,CLE,$1633440
290,Chris Singleton,WAS,$1618680
291,John Lucas,UTA,$1600000
292,Toney Douglas,GSW,$1600000
293,Pablo Prigioni,NYK,$1591350
294,Metta World Peace,NYK,$1590000
295,Terrence Jones,HOU,$1551840
296,Jodie Meeks,LAL,$1550000
297,Tobias Harris,ORL,$1545840
298,Shane Larkin,DAL,$1536960
299,Ronny Turiaf,MIN,$1500000
300,Viacheslav Kravtsov,MIL,$1500000
301,Miroslav Raduljica,MIL,$1500000
302,James Jones,MIA,$1500000
303,Chris Duhon,LAL,$1500000
304,Gustavo Ayon,ATL,$1500000
305,Andrew Nicholson,ORL,$1482000
306,Sergey Karasev,CLE,$1467840
307,Nando De Colo,SAS,$1463000
308,Donatas Motiejunas,HOU,$1422720
309,Evan Fournier,DEN,$1422720
310,Tony Snell,CHI,$1409040
311,Quentin Richardson,TOR,$1399507
312,Chris Andersen,MIA,$1399507
313,Rashard Lewis,MIA,$1399507
314,Willie Green,LAC,$1399507
315,Andray Blatche,BRK,$1375604
316,Kenneth Faried,DEN,$1367640
317,Jared Sullinger,BOS,$1365720
318,Gorgui Dieng,MIN,$1352640
319,Dennis Schroeder,ATL,$1348200
320,Victor Claver,POR,$1330000
321,Mason Plumlee,BRK,$1298640
322,D.J. Augustin,TOR,$1267000
323,Ronnie Price,ORL,$1265977
324,Francisco Garcia,HOU,$1265977
325,Reggie Jackson,OKC,$1260360
326,John Jenkins,ATL,$1258800
327,Solomon Hill,IND,$1246680
328,MarShon Brooks,BOS,$1210080
329,Jared Cunningham,ATL,$1208400
330,Hasheem Thabeet,OKC,$1200000
331,Pero Antic,ATL,$1200000
332,Tim Hardaway,NYK,$1196760
333,Ronnie Brewer,HOU,$1186459
334,Jordan Hamilton,DEN,$1169880
335,Tony Wroten,PHI,$1160040
336,Reggie Bullock,LAC,$1149000
337,Patrick Mills,SAS,$1133950
338,Norris Cole,MIA,$1129200
339,Miles Plumlee,PHO,$1121520
340,Cory Joseph,SAS,$1120920
341,Jimmy Butler,CHI,$1112880
342,Andre Roberson,OKC,$1110840
343,Nick Young,LAL,$1106942
344,Arnett Moultrie,PHI,$1089240
345,Perry Jones,OKC,$1082520
346,Rudy Gobert,UTA,$1078800
347,Marquis Teague,CHI,$1074720
348,Festus Ezeli,GSW,$1066920
349,Archie Goodwin,PHO,$1064400
350,Nemanja Nedovic,GSW,$1056720
351,Kyle Singler,DET,$1045000
352,Nikola Mirotic,CHI,$1038900
353,Anthony Morrow,NOP,$1027424
354,Lance Stephenson,IND,$1005000
355,Richard Hamilton,CHI,$1000000
356,Ishmael Smith,MIL,$951463
357,Austin Daye,TOR,$947907
358,Byron Mullens,LAC,$947907
359,Omri Casspi,HOU,$947907
360,Alan Anderson,BRK,$947907
361,Chandler Parsons,HOU,$926500
362,Chris Johnson,MIN,$916099
363,James Anderson,HOU,$916099
364,Jeff Adrien,CHA,$916099
365,Jon Leuer,MEM,$900000
366,James Singleton,WAS,
367,Morris Almond,WAS,
368,Maurice Evans,WAS,
369,Jason Collins,WAS,
370,Malcolm Lee,WAS,$884293
371,Al Harrington,WAS,$1399507
372,Garrett Temple,WAS,$916099
373,Mickael Pietrus,TOR,
374,Julyan Stone,TOR,$884293
375,Damon Stoudamire,SAS,
376,Glenn Robinson,SAS,
377,Jacque Vaughn,SAS,
378,Tracy McGrady,SAS,
379,Nick Van Exel,SAS,
380,Isaiah Thomas,SAC,$884293
381,Earl Watson,POR,$1399507
382,P.J. Tucker,PHO,$884293
383,Charles Jenkins,PHI,
384,Jeremy Richardson,ORL,
385,E'Twaun Moore,ORL,$884293
386,Derek Fisher,OKC,$1399507
387,Baron Davis,NYK,
388,Earl Barron,NYK,
389,Mike Bibby,NYK,
390,Beno Udrih,NYK,$1272279
391,Cole Aldrich,NYK,$916099
392,Kenyon Martin,NYK,$1399507
393,A.J. Price,MIN,$947907
394,Marquis Daniels,MIL,
395,Juwan Howard,MIA,
396,Michael Beasley,MIA,$1027424
397,Greg Oden,MIA,$1027424
398,Roger Mason,MIA,$1399507
399,Keyon Dooling,MEM,
400,Gilbert Arenas,MEM,
401,Leon Powe,MEM,
402,Lester Hudson,MEM,
403,Marcus Williams,MEM,
404,Mike Miller,MEM,$1399507
405,Jim Jackson,LAL,
406,Mitch Richmond,LAL,
407,Theo Ratliff,LAL,
408,Joe Smith,LAL,
409,Ira Newble,LAL,
410,Horace Grant,LAL,
411,Brian Shaw,LAL,
412,Andrew Goudelock,LAL,
413,John Salley,LAL,
414,Jordan Farmar,LAL,$1106942
415,Xavier Henry,LAL,$916099
416,Wesley Johnson,LAL,$916099
417,Antawn Jamison,LAC,$1399507
418,Ryan Hollins,LAC,$1186459
419,Rasual Butler,IND,$1399507
420,Donald Sloan,IND,$884293
421,Marcus Camby,HOU,$1399507
422,Aaron Brooks,HOU,$1027424
423,Greg Smith,HOU,$884293
424,Josh Harrellson,DET,$884293
425,Wesley Person,DEN,
426,DeJuan Blair,DAL,$947907
427,Devin Harris,DAL,$1272279
428,Vladimir Radmanovic,CHI,
429,Brian Scalabrine,CHI,
430,Daequan Cook,CHI,
431,Nazr Mohammed,CHI,$1399507
432,Anthony Tolliver,CHA,$1027424
433,Jannero Pargo,CHA,$1399507
434,Jerry Stackhouse,BRK,
435,Shaun Livingston,BRK,$1272279
436,Michael Olowokandi,BOS,
437,Scot Pollard,BOS,
438,Shaquille O'Neal,BOS,
439,Stephon Marbury,BOS,
440,Michael Finley,BOS,
441,Mark Bryant,BOS,
442,Grant Long,BOS,
443,Dana Barros,BOS,
444,Chris Wilcox,BOS,
445,Carlos Arroyo,BOS,
446,P.J. Brown,BOS,
447,Shelvin Mack,ATL,$884293
448,Draymond Green,GSW,$875500
449,Allen Crabbe,POR,$825000
450,Elliot Williams,PHI,$792156
451,Diante Garrett,UTA,$788872
452,Aron Baynes,SAS,$788872
453,Quincy Acy,SAC,$788872
454,Will Barton,POR,$788872
455,DeQuan Jones,ORL,
456,Doron Lamb,ORL,$788872
457,Kyle O'Quinn,ORL,$788872
458,Brian Roberts,NOP,$788872
459,Darius Miller,NOP,$788872
460,Khris Middleton,MIL,$788872
461,Robert Sacre,LAL,$788872
462,Ben Hansbrough,IND,
463,Orlando Johnson,IND,$788872
464,Patrick Beverley,HOU,$788872
465,Kent Bazemore,GSW,$788872
466,Quincy Miller,DEN,$788872
467,Bernard James,DAL,$788872
468,Jae Crowder,DAL,$788872
469,Henry Sims,CLE,$788872
470,Jeff Taylor,CHA,$788872
471,Tornike Shengelia,BRK,$788872
472,Tyshawn Taylor,BRK,$788872
473,Mike Scott,ATL,$788872
474,Dwight Buycks,TOR,$700000
475,Malcolm Thomas,SAS,$697031
476,Aaron Brooks,SAC,$674193
477,Chris Douglas-Roberts,CHA,$708142
478,D.J. Augustin,CHI,$755459
479,Alexis Ajinca,NOP,$635880
480,James Johnson,MEM,$680263
481,Isaiah Canaan,HOU,$570515
482,Jeremy Tyler,NYK,$556584
483,Kendall Marshall,LAL,$547570
484,Ricky Ledo,DAL,$544000
485,Jamaal Franklin,MEM,$535000
486,Ray McCallum,SAC,$524616
487,Carrick Felix,CLE,$510000
488,Ryan Gomes,BOS,$509479
489,Nate Wolters,MIL,$500000
490,Tony Mitchell,DET,$500000
491,Glen Rice,WAS,$490180
492,Ian Clark,UTA,$490180
493,Dionte Christmas,PHO,$490180
494,Hollis Thompson,PHI,$490180
495,Brandon Davies,PHI,$490180
496,(Chris Smith),NYK,$490180
497,Toure' Murry,NYK,$490180
498,Jeff Withey,NOP,$490180
499,Robbie Hummel,MIN,$490180
500,Nick Calathes,MEM,$490180
501,Ryan Kelly,LAL,$490180
502,Robert Covington,HOU,$490180
503,Ognjen Kuzmic,GSW,$490180
504,Peyton Siva,DET,$490180
505,Gal Mekel,DAL,$490180
506,Matt Dellavedova,CLE,$490180
507,Erik Murphy,CHI,$490180
508,Phil Pressey,BOS,$490180
509,Solomon Jones,ORL,$488542
510,Shawne Williams,LAL,$475334
511,Reggie Williams,HOU,$473954
512,Hedo Turkoglu,LAC,$749148
513,Cartier Martin,ATL,$441188
514,Fab Melo,MEM,$437080
515,Lorenzo Brown,PHI,$423862
516,Mike James,CHI,$419852
517,Mike Harris,UTA,$393384
518,Daniel Orton,PHI,$393384
519,Hamady N'Diaye,SAC,$374524
520,Louis Amundson,NOP,$362917
521,Maalik Wayns,LAC,$329470
522,Stephen Jackson,LAC,$255204
523,Josh Childress,NOP,$237292
524,Hamed Haddadi,PHO,$200000
525,Darius Morris,PHI,$200000
526,(C.J. Leslie),NYK,$200000
527,Hilton Armstrong,GSW,$132961
528,(James Southerland),CHA,$132637
529,Jamaal Tinsley,UTA,$131718
530,Gani Lawal,PHI,$100000
531,Jeremy Tyler,NYK,$100000
532,Tyler Honeycutt,HOU,$100000
533,Jeremy Tyler,ATL,$100000
534,(Elias Harris),LAL,$95153
535,Lance Thomas,NOP,$83228
536,(Seth Curry),GSW,$75000
537,(Dewayne Dedmon),GSW,$57668
538,(Vander Blue),PHI,$55000
539,Leandro Barbosa,PHO,$82324
540,Leandro Barbosa,PHO,$82324
541,Royal Ivey,OKC,$74840
542,Manny Harris,LAL,$52017
543,Darius Morris,LAC,$52017
544,Darius Morris,LAC,$52017
545,Cartier Martin,CHI,$60437
546,Cartier Martin,CHI,$60437
547,(E.J. Singler),POR,$50000
548,(Dee Bost),POR,$50000
549,(Brandon Davies),LAC,$50000
550,Maalik Wayns,LAC,$46404
551,(Christapher Johnson),BOS,$46404
552,(Arinze Onuaku),NOP,$46135
553,(Seth Curry),MEM,$43251
554,(B.J. Young),HOU,$40000
555,(Brandon Heath),SAC,$35000
556,(Rodney Williams),PHI,$35000
557,(Khalif Wyatt),PHI,$35000
558,(Dewayne Dedmon),PHI,$28834
559,(James Nunnally),ATL,$28834
560,(Dewayne Dedmon),GSW,$25000
