Rk,Player,Tm,2013-14
1,Kobe Bryant,LAL,$30453805
2,Dirk Nowitzki,DAL,$22721381
3,Amar'e Stoudemire,NYK,$21679893
4,Joe Johnson,BRK,$21466718
5,Carmelo Anthony,NYK,$21388953
6,Dwight Howard,HOU,$20513178
7,Pau Gasol,LAL,$19285850
8,LeBron James,MIA,$19067500
9,Chris Bosh,MIA,$19067500
10,Dwyane Wade,MIA,$18673000
11,Chris Paul,LAC,$18668431
12,Deron Williams,BRK,$18466130
13,Rudy Gay,SAC,$17888931
14,Kevin Durant,OKC,$17832627
15,Zach Randolph,MEM,$17800000
16,Derrick Rose,CHI,$17632688
17,Blake Griffin,LAC,$16441500
18,Paul Pierce,BRK,$15333334
19,Carlos Boozer,CHI,$15300000
20,LaMarcus Aldridge,POR,$14878000
21,Marc Gasol,MEM,$14860523
22,Russell Westbrook,OKC,$14693906
23,Kevin Love,MIN,$14693906
24,Brook Lopez,BRK,$14693906
25,Emeka Okafor,PHO,$14487500
26,Eric Gordon,NOP,$14283844
27,Roy Hibbert,IND,$14283844
28,Luol Deng,CLE,$14275000
29,Tyson Chandler,NYK,$14100538
30,Danny Granger,IND,$14021788
31,Andrew Bogut,GSW,$14000000
32,David Lee,GSW,$13878000
33,James Harden,HOU,$13701250
34,Josh Smith,DET,$13500000
35,Al Jefferson,CHA,$13500000
36,Ben Gordon,CHA,$13200000
37,Nene Hilario,WAS,$13000000
38,Andre Iguodala,GSW,$12868632
39,Tony Parker,SAS,$12500000
40,Kevin Garnett,BRK,$12443735
41,Serge Ibaka,OKC,$12350000
42,Nikola Pekovic,MIN,$12100000
43,David West,IND,$12000000
44,Kris Humphries,BOS,$12000000
45,Al Horford,ATL,$12000000
46,Rajon Rondo,BOS,$11954545
47,Andrea Bargnani,NYK,$11862500
48,Nicolas Batum,POR,$11295250
49,Joakim Noah,CHI,$11100000
50,Richard Jefferson,UTA,$11046000
51,DeAndre Jordan,LAC,$10986550
52,Ty Lawson,DEN,$10786517
53,JaVale McGee,DEN,$10750000
54,Tim Duncan,SAS,$10361446
55,Tyreke Evans,NOP,$10300000
56,Danilo Gallinari,DEN,$10146925
57,Gerald Wallace,BOS,$10105855
58,Tiago Splitter,SAS,$10000000
59,Stephen Curry,GSW,$9887642
60,DeMar DeRozan,TOR,$9500000
61,Paul Millsap,ATL,$9500000
62,Shawn Marion,DAL,$9316796
63,Steve Nash,LAL,$9300500
64,Jrue Holiday,NOP,$9213484
